2026-04-25T10:34:48.429581 | WARNING | gas | 0.65
2026-04-25T11:09:31.746584 | WARNING | gas | 0.641
2026-04-25T11:09:33.748058 | WARNING | gas | 0.647
2026-04-25T11:09:35.749226 | WARNING | gas | 0.665
2026-04-25T11:09:37.750308 | WARNING | gas | 0.688
2026-04-25T11:09:39.751170 | WARNING | gas | 0.625
2026-04-25T11:09:41.752532 | WARNING | gas | 0.629
2026-04-25T11:09:43.753610 | WARNING | gas | 0.649
2026-04-25T11:09:45.754820 | WARNING | co2 | 652.01
2026-04-25T11:09:45.754820 | WARNING | gas | 0.64
2026-04-25T11:09:47.755588 | WARNING | gas | 0.639
2026-04-25T11:09:49.756902 | WARNING | gas | 0.629
2026-04-25T11:09:51.758505 | WARNING | co2 | 650.66
2026-04-25T11:09:51.758505 | WARNING | gas | 0.662
2026-04-25T11:09:53.759754 | WARNING | co2 | 641.65
2026-04-25T11:09:53.759754 | WARNING | gas | 0.632
2026-04-25T11:09:55.761332 | WARNING | gas | 0.593
2026-04-25T11:09:57.762652 | WARNING | gas | 0.634
2026-04-25T11:09:59.764168 | WARNING | gas | 0.596
2026-04-25T11:10:01.765535 | WARNING | co2 | 643.04
2026-04-25T11:10:01.765535 | WARNING | gas | 0.651
2026-04-25T11:10:03.766560 | WARNING | gas | 0.64
2026-04-25T11:10:05.767991 | WARNING | co2 | 653.78
2026-04-25T11:10:05.767991 | WARNING | gas | 0.668
2026-04-25T11:10:07.769661 | WARNING | gas | 0.692
